"id","pub_date","bandname_text"
423,"2019-01-29 04:10:55+00","Thunderlips"
424,"2019-01-29 04:12:35+00","Cheese Wizard"
425,"2019-01-29 04:13:03+00","Rad Tatooine"
427,"2019-01-29 04:14:25+00","Whoreshit"
431,"2019-01-29 04:17:13+00","Taco Pilot"
433,"2019-01-29 04:18:12+00","Fungust"
434,"2019-01-29 04:18:32+00","Fart Gallery"
435,"2019-01-29 04:19:04+00","Hail Seizure"
430,"2019-01-29 04:16:05+00","Ex Spearmint"
451,"2019-01-29 04:31:22+00","Zebralette"
452,"2019-01-29 04:32:19+00","Mail Pattern"
453,"2019-01-29 04:34:58+00","Earbook"
454,"2019-01-29 04:38:29+00","Play Dope"
456,"2019-01-29 04:38:43+00","Cookie Dope"
457,"2019-01-29 04:40:07+00","Bread Scrum"
461,"2019-01-29 05:03:00+00","Thighdeologue"
464,"2019-01-29 05:04:59+00","Fur Coax"
465,"2019-01-29 05:05:55+00","Relanativity"
467,"2019-01-29 05:08:14+00","Elephantasmagoria"
469,"2019-01-29 05:10:05+00","Videogurt"
475,"2019-01-29 05:38:07+00","Microsoft Widows"
476,"2019-01-30 02:28:46+00","Blob Ross"
478,"2019-01-30 02:29:23+00","Blob Dill In"
479,"2019-01-30 02:29:34+00","Blob Sag It"
485,"2019-01-30 02:36:24+00","A New Pope"
486,"2019-01-30 02:36:34+00","The Umpire Strikes Back"
488,"2019-01-30 02:38:27+00","Umpire State"
490,"2019-01-31 21:01:34+00","Meh-he Co."
491,"2019-01-31 21:01:56+00","Mecksea Co."
492,"2019-02-02 15:35:05+00","Baby Cheeses"
493,"2019-02-03 02:24:47+00","Buffalo Springsteen"
496,"2019-02-05 23:22:49+00","Queuecumber"
426,"2019-01-29 04:13:25+00","Crepes of Wrath"
428,"2019-01-29 04:15:27+00","Kurds and Whey"
429,"2019-01-29 04:15:47+00","Parched Mint Paper"
432,"2019-01-29 04:17:50+00","Funyun Youngin"
455,"2019-01-29 04:38:36+00","Pizza Dope"
462,"2019-01-29 05:03:17+00","Whore Ratio"
463,"2019-01-29 05:04:07+00","Twinspiration"
466,"2019-01-29 05:07:05+00","Gorillumps"
468,"2019-01-29 05:09:23+00","Trumpet Peeve"
477,"2019-01-30 02:28:59+00","Blob Villa"
480,"2019-01-30 02:33:26+00","Kurd Cocaine"
481,"2019-01-30 02:34:22+00","Hurricocaine"
482,"2019-01-30 02:35:16+00","Veep Jeep"
483,"2019-01-30 02:35:42+00","Derek Cheetah"
484,"2019-01-30 02:36:17+00","Blob Hope"
487,"2019-01-30 02:38:10+00","Presidents of Vice"
115,"2019-01-28 04:20:00+00","Bees In The Wall"
494,"2019-02-03 02:25:00+00","Cinnamon Goal"
91,"2019-01-28 04:20:00+00","Abandon Skunk"
92,"2019-01-28 04:20:00+00","Acoustic Lumberjack"
93,"2019-01-28 04:20:00+00","Afro Powersaw"
94,"2019-01-28 04:20:00+00","Aftermoon"
95,"2019-01-28 04:20:00+00","Alabaster Butt"
96,"2019-01-28 04:20:00+00","Allegedly Delicious"
97,"2019-01-28 04:20:00+00","Alphabet Sheep"
98,"2019-01-28 04:20:00+00","Amoeba Wep"
